,Job Title,Company Name,Location,Date Posted,Total Applicants,Job Description,Seniority level,Employment type,Job function,Industries
0,Associate Software Developer- Entry Level,Woz U,"Cary, NC",3 weeks ago,Be among the first 25 applicants,"Apprentice Now has an excellent tech job opportunity for individuals looking to start a new career in technology as a Software Developer. We represent a client who is an industry leader in technology services and consulting, providing you with a great job opportunity in the tech field to get your foot in the door!

You will have the opportunity to work alongside a team of professionals to solve real-life problems and learn how to make an impact. You will be equipped with everything you need to know to make a meaningful contribution as a professional within their organization and start your new career off right! This is a Full-time, salaried opportunity, with benefits and no prior technical experience required.

Associate Software Development Job Duties may include but not limited to:
Responsible for developing software product features with industry-leading technologies such as Java, SQL, Javascript, Angular and AWS.
Test and verify software solutions to ensure adherence to requirements.
Involves configuration, build, test, support, and maintenance of new products or features.
Leverage your design skills to provide an engaging user experience to the end-users
Design, execute and automate scenarios, scripts, and procedures
Document software defects, using a bug tracking system
Participate in troubleshooting existing software issues and implement as per the change management process
Design and configure interfaces needed to transfer data between applications based on the requirements
May involve participating in discovery and design sessions, developing wireframes and prototypes, and developing web and mobile apps
Join us and be part of the next generation of Tech!

Interviews are starting now!

About The Client

Our client for this opportunity is a next-generation global technology company that helps enterprises reimagine their businesses for the digital age. Their technology products and services are built on four decades of innovation, with a world-renowned management philosophy, a strong culture of invention and risk-taking, and a relentless focus on customer relationships. This company takes pride in its many diversity, social responsibility, sustainability, and education initiatives. Through its worldwide network, and over 197,000+ employees across 52 countries.

This Entry-Level opportunity is designed for recent High School Graduates, and early career changers.

Requirements
Must be located in/near our Cary North Carolina location. Relocation assistance is available for nearby states.
High school diploma or GED
3.0 or higher GPA
Preference is given to those who have taken elective STEM classes
Must be authorized to work in the U.S. (U.S. Citizen or Green Card holder). No sponsorship available.
Passion for technology and a strong desire to learn technical skills.
Great communication skills, experience working directly with customers and clients.
Ability to thrive in a remote learning environment.
Benefits

About Us:

Apprentice Now, is a leading national provider of Registered Apprenticeships and Talent Acquisition Services in high demand technology skills. By working directly with the enterprise sector, we provide customized talent pipelines to meet the specific training and hiring needs of the business.",Entry level,Full-time,Engineering and Information Technology,Education Administration Programs
1,"Software Engineer, Fullstack",Ndustrial," Raleigh, NC",2 months ago,Be among the first 25 applicants,"Ndustrial was founded in 2011 to accelerate efficiency across industrial facilities. Our founders merged their experiences across Silicon Valley innovation, industrial engineering and computer science to build a real-time industrial intelligence platform that enables companies to gain new levels of insight into their business processes and energy intensity and then optimize and transform them for sustained competitive advantage.

Headquartered in Raleigh, NC, Ndustrial’s customers span the globe. Come join one of the most impactful companies in its industry with investments from one of the largest utilities on the planet, ENGIE New Ventures, Clean Energy Ventures and the largest cold storage logistics companies in the world, Lineage Logistics. Our culture values a relentless customer first commitment to quality anchored in integrity and a startup mindset rooted in curiosity. Building a company and solving global challenges is hard work but our teamwork is sustained through humility and humor.

We are looking for someone passionate about their work and who can be a big part of a small team. Someone who can be counted on to continue driving us forward. This particular opening is core to what we do here at Ndustrial, which is taking data from numerous different sources and organizing it in a way that is useful for our customers. The scale at which we are doing this is growing every day and we need talented individuals who are ready to take on the challenge of not only helping us keep up with the pace, but also to continuously improve the system. We are not the kind of startup that expects you to work insane hours or sleep at your desk, but we do need someone who understands how a startup works and is willing to be a part of a (sometimes) crazy ride.

Requirements
Enhance features and functionality of our existing stack while developing new software to meet our customer’s needs.
Actively participate in scoping, estimating, code reviews throughout the development process.
Communicate with your fellow coworkers about your progress and offer suggestions/improvements to continually improve all aspects of the software.
Be able to provide thorough reasons/explanations for software decision in order to prevent technical debt.
Able to engage in customer focused work and support items when needed.
Occasional IT support when the need arises.
Have a constructive voice. It will be expected and respected.
Strong curiosity about new technologies
Self-motivated individual who can work independently/remotely
3+ years experience with the following technologies:
API Development with REST and GraphQL
Scripting language Node.js(Typescript)
PostgreSQL Databases
Developing Microservices architecture
Application development with Kubernetes
OAuth 2.0
Nice to haves:
CI/CD experience with Github Actions and Helm charts
Experience with Python
Experience with industrial IoT or time series data
AWS Experience, SAA or DVA

Benefits
Open PTO Policy
Outstanding Benefits: Medical, Dental and Vision, STD, LTD, Life, AD&D insurance employee premiums fully covered!
Annual professional Development stipend ($500/year)
Commuter benefit
401K
Team outings, catered lunches, celebrations!
Flexible work environment with telecommuting options
New, modern, gorgeous office conveniently located on Fayetteville St. in Downtown Raleigh
We live our values everyday: Teamwork, Customer Service, Quality and Curiosity
Inclusive, communicative, innovative and fun environment, we enjoy working together!
Dog friendly office",Mid-Senior level,Full-time,Engineering and Information Technology,Software Development
2,Software Developer (Early Career),SAS," Cary, NC",4 days ago,Over 200 applicants,"Ar e you a problem solver, explorer, and knowledge seeker – always asking, “What if?”

If so, then you may be the new team member we’re looking for. Because at SAS, your curiosity matters – whether you’re developing algorithms, creating customer experiences, or answering critical questions. Curiosity is our code, and the opportunities here are endless.

What We Do

We’re the leader in analytics. Through our software and services, we inspire customers around the world to transform data into intelligence. Our curiosity fuels innovation, pushing boundaries, challenging the status quo and changing the way we live.

What You’ll Do

We are looking for an entry level software developer to join our team that supports and develops SAS Middle Tier platform. This platform provides middle tier services and infrastructure for all SAS products. You will be working on a core code base primarily written in Java, using Spring and many other open-source products. With customers across the globe, you will have the opportunity to work alongside a diverse set of people who share your passion for developing and delivering enterprise-class software.

You Will
Program in Java on a Windows or Linux environment.
Design and develop high quality, testable and scalable software solutions within established timelines while adhering to R&D best practices and processes.
Participate in scoping, planning, and tracking work on complex software development projects in a continuous delivery environment.
Collaborate with other developers, testers, project managers, and product managers to ensure implementations satisfy functional requirements and are consistent with established R&D standards.
Actively participate in design, code, and documentation reviews.
Ensure quality through automated functional, unit, and performance testing.
Maintain accountability for the entire life cycle of the product code including providing technical support for both internal and external consumers.
What We’re Looking For
Bachelor's degree in Computer Science, Engineering, Statistics, Math, or a related discipline.
Software development experience with Java, Go, and/or Rest APIs.
Familiarity with at least one public cloud interface: Azure, AWS, or GCP.
Strong computer programming skills with excellent analytical and problem-solving skills.
Can assimilate technical material and handle deadlines in a multiple task environment.
Ability to work independently and within a team.
You’re curious, passionate, authentic and accountable. These are our values and influence everything we do.
The nice to haves
Experience in web application development.
Experience with Spring, Tomcat and Web Security
Experience with SQL programming or SQL databases.
Familiarity with Linux.
Experience with CI/CD pipelines and associated tools like Git, Gerrit, Jenkins etc.
Experience with SAS programming is a plus.
Location

Cary HQ office or remote for the right candidate (United States only)

Why SAS
We love living the #SASlife and believe that happy, healthy people have a passion for life, and bring that energy to work. No matter what your specialty or where you are in the world, your unique contributions will make a difference.
Our multi-dimensional culture blends our different backgrounds, experiences, and perspectives. Here, it isn’t about fitting into our culture, it’s about adding to it - and we can’t wait to see what you’ll bring.
Additional Information

To qualify, applicants must be legally authorized to work in the United States, and should not require, now or in the future, sponsorship for employment visa status. SAS is an equal opportunity employer. All qualified applicants are considered for employment without regard to race, color, religion, gender, sexual orientation, gender identity, age, national origin, disability status, protected veteran status or any other characteristic protected by law. Read more: Equal Employment Opportunity is the Law . Also view the supplement EEO is the Law , and the Pay Transparency notice.

Equivalent combination of education, training and experience may be considered in place of the above qualifications. The level of this position will be determined based on the applicant's education, skills and experience. Resumes may be considered in the order they are received. SAS employees performing certain job functions may require access to technology or software subject to export or import regulations. To comply with these regulations, SAS may obtain nationality or citizenship information from applicants for employment. SAS collects this information solely for trade law compliance purposes and does not use it to discriminate unfairly in the hiring process.

All valid SAS job openings are located on the Careers page at www.sas.com . SAS only sends emails from verified “sas.com” email addresses and never asks for sensitive, personal information or money. Should you have any doubts about the authenticity of any type of communication from, for, or on behalf of SAS, please contact us at Recruitingsupport@sas.com before taking any further action.",Entry level,Full-time,Engineering and Information Technology,Software Development
3,Software Engineer 1,Garmin," Cary, NC",3 weeks ago,Over 200 applicants,"Overview

We are seeking a full-time Software Engineer 1 for our office in Cary, North Carolina. In this role, you will be responsible for building upon existing software solutions to develop basic software for Garmin products and/or applications.

Essential Functions
Performs new product and/or application software design and development as well as maintenance activities for products and/or applications already in production using C, C++, C#, Java, assembly language, or other selected languages
Troubleshoots basic issue reports, reproduces issues, evaluates technical cause and implements and tests software solutions
Identifies and resolves defects of basic scope using proper engineering tools and techniques such as debuggers, emulators, simulators, and logic analyzers
Applies design standards and procedures using appropriate engineering tools to document and implement basic designs in an organized manner
Supports working hours as part of a rotating schedule to provide on call support of Garmin’s 24/7 operations

Basic Qualifications
Bachelor’s Degree in Computer Science, Electrical Engineering, Computer Engineering, Software Engineering, Aerospace Engineering, Math, Physics or related field OR an equivalent combination of education and experience
Excellent academics (cumulative GPA greater than or equal to 3.0 as a general rule)
Demonstrated knowledge, education, experience and/or training necessary to develop basic software in C, C++, C#, Java, assembly language, or other selected languages

Desired Qualifications
Outstanding academics (cumulative GPA greater than or equal to 3.5)
Previous work or internship experience in design, particularly for consumer products

Garmin International is an equal opportunity employer. Qualified applicants will receive consideration for employment without regard to race, religion, color, national origin, citizenship, sex, sexual orientation, gender identity, veteran’s status, age or disability.",Entry level,Full-time,Engineering and Information Technology,Communications Equipment Manufacturing
4,Software Engineer,"Double Line, Inc.","Raleigh, NC",1 month ago,38 applicants,"(This is a remote position open to candidates residing in North Carolina and Texas. We have an office location in Austin, TX for use at our employees' convenience. We have no plans to return to the office on a mandatory basis.)

 

Feeling underappreciated? Underutilized? Are you ready to develop, document, debug, support, analyze, maintain source code, and adhere to existing Double Line standards and best practices?  We're a growing company focused on expanding our Development team with a proactive and driven Software Engineer.  Sound interesting?

 

If so, we're looking for a motivated and driven person like you who:

Is strong in ASP.Net C# MVC and WebAPI
Wants to dive in headfirst in complex and custom codebases
Thrives in an agile environment with Lean software development principles
Possesses a deadline-driven mentality
Enjoys collaborating with internal and external stakeholders
Has familiarity with AngularJS+ or other front-end development
Experienced in SQL and SSRS Reporting
 

Bonus points if you're bringing knowledge of or really want to learn any of the following:

AWS, Azure, and Google Cloud
ETL mapping and processes
Consultancy experience
 

We do not want you to make the leap without knowing what we need, so here is how we define success for this position:

Shadow and train with existing Software Engineers within the first 30 days
Begin taking and completing assignments in sprints within the first 60 days
Demonstrate 80%+ on-time delivery of assigned tasks within the first 90 days
 

In return, we offer:

A mission-driven company with a long-term focus on helping the world by untangling the technical knots that plague state and local governments, particularly in education, healthcare, and similar fields
A home where your voice matters and you can affect real change
Direct connection to the Executive team where you can help drive the future of the company
An employer who cares about you, makes sure you're engaged with exciting work, and offers robust benefits, 401k with employer match, and a great culture.
 

We need to know - can you make this happen? If so, we definitely need to talk to you.

 

We value diversity at Double Line. We hire, recruit, and promote without regard to race, color, religion, sex, sexual orientation, gender, national origin, pregnancy or maternity, veteran status or any other status protected by applicable law. We understand the importance of creating a safe and comfortable work environment and encourage individualism and authenticity in every member of our team. 

 

Double Line does not sponsor applicants for work visas at this time.  

 

Double Line does not currently offer relocation assistance.",Entry level,Full-time,Engineering and Information Technology,Business Consulting and Services
5,Software Engineer,Evoke Neuroscience,"Raleigh, NC",3 weeks ago,Be among the first 25 applicants,"Evoke Neuroscience

Salary range: 120,000-140,000

The Software Engineer (SE) will work in the areas of electrophysiology signal analysis (i.e., EEG, ERP, ECG) and primarily be responsible for developing new software approaches to measuring neurological treatment effect, classifying neurological disease states, brain stimulation and biofeedback applications, non-medical peak brain performance, and other related fields of neuroscience as needed to further the growth of the company. A strong understanding of neuroscience with experience analyzing functional brain data, writing software code for signal recording collection, processing, and report automation, strong communication skills, particularly with regard to report writing, presentations, and publishing research is required. The SE will work closely with the CEO and/or their designee and other employee or contract engineers to advance the scientific and engineering efforts of the company. The role of the SE will include the planning and execution of hardware and software interface projects and work with the research and development team to design and implement market-ready products and services. This person will be responsible for working cooperatively with the management team to develop and generate the next generation of products and services that will further the growth of the Company. The position provides a significant opportunity for professional growth within an expanding company and industry.

Responsibilities

Be able to work independently and efficiently at off-site work locations.
Develop new products and services based on functional measures of brain and body activity.
Develop and implement strategies for growing the R&D effort using grants or other funding sources.
Work with subordinate internal and external contract biomedical and software engineers to produce market-ready hardware and software.
Be able and willing to work “hands-on” using personal expertise to solve difficult problems.
Be able and willing to work with allied contractors in the software and hardware development sectors.
Work with the CEO and/or their designee to ensure that appropriate resources are assigned to supporting activities in quality control; safety; and analytical or instrument support.
Work with the CEO full staff complement to translate features and benefits into product.
Be able and willing to support legacy technologies while developing new, cutting edge products.
Maintain high morale and develop a team-like atmosphere that promotes harmonious interaction with the rest of the company.
Work with the CEO and/or their designee to develop and manage pre-clinical studies.
Build partnerships and relationships with the scientific community and industry partners.
Profile the company as the leading resource for applied neuroscience and integrative and regenerative medicine in the medical and neuroscience fields, and a preferred partner for leading institutions.
On occasion, enhance the manufacturing and service delivery process including determination of release criteria and writing SOPs. Develop and implement SOPs for key manufacturing processes and equipment operation/maintenance as well as batch production records for critical technical processes.

Required Skills And Experience

4-6 years of experience as a software engineer.
Demonstrable programming experience (C++/C#, Python, Java, MATLAB, EEGLAB, AI/ML app dev tools).
Experience with Linux, software migration, certain legacy MS Windows tech is a plus (e.g. WPF).
Experience with cloud architecture development and deployment.
Ability to complete design history documents and software architecture for large-scale systems is a plus.",Entry level,Full-time,Engineering and Information Technology,Medical Equipment Manufacturing
6,"Full Stack Developer, Junior",Elevance Health,"Raleigh, NC",10 hours ago,Be among the first 25 applicants,"Job Family: Development and Engineering
Type: Full time
Date Posted:Oct 01, 2022
Req #: JR24526
Location:
TN, Brentwood
FL, Orlando
National +50 Miles away from nearest PulsePoint, National +50 Miles away from nearest PulsePoint
Description

The preferred locations for this position are Brentwood, TN, or Orlando, FL. Will consider highly qualified candidates from other locations. This position will take part in Elevance Health’s hybrid work model and is eligible for a remote work schedule.

Responsible for delivery of end to end application, system development and maintenance on complex multi technology platforms within assigned client group, business unit or corporate department and utilizing various customer technology platforms.

Primary Duties May Include, But Are Not Limited To
Owns the change request process and may coordinate with other teams as necessary.
Provides technical advice and weighs in on technical decisions that impact cross functional teams.
Contributes to the creation of solid coding techniques and recommends and reviews coding standards.
Analyzes application requests and business requirements for completeness and understanding.
Analyzes existing application design and code.
Determine level of effort to design, build, and code, document and unit test so that estimates can be provided to the Technical Supervisor.
Design, prototype build, code, document and unit test solutions for projects.
Can individually troubleshoot and resolve production system issues.
Develops and owns list of final enhancements.
Develops and defines application scope and objectives and prepares technical and/or functional specifications from with programs will be written.
Performs technical design reviews and code reviews.
May own technical testing to ensures unit test is completed and meets the test plan requirements, system testing is completed and system is implemented according to plan.
Maintains technical development environment.
Understands the tradeoffs between technical, analytical and product needs of the technical solutions.
Required Qualifications
Requires an BA/BS degree in Information Technology, Computer Science or related field of study and a minimum of 3 years experience on one platform, multi database, multi language or multi business application; or any combination of education and experience, which would provide an equivalent background
Minimum of 1 year experience using C# and .NET CORE
Experience developing REST Web Services (APIs).
Minimum of 1 year developing web applications
Familiar with RDBMS concepts.
1 year coding software according to published standards and design guidelines
Preferred Qualifications
Exposure to Microsoft SQL
Experience in publishing and maintaining code/services in a cloud hosted environment like Azure.
Ability to handle diverse situations and changing priorities while maintaining a positive attitude.
Applicable to Colorado Applicants Only

Annual Salary Range*: $89,200 - $111,500 (Min – MRP)

Actual compensation may vary from posting based on geographic location, work experience, education and/or skill level.
The hourly or salary range is the range Elevance Health in good faith believes is the range of possible compensation for this role at the time of this posting. The Company may ultimately pay more or less than the posted range. This range is only applicable for jobs to be performed in Colorado. This range may be modified in the future. No amount is considered to be wages or compensation until such amount is earned, vested, and determinable under the terms and conditions of the applicable policies and plans. The amount and availability of any bonus, commission, benefits, or any other form of compensation and benefits that are allocable to a particular employee remains in the Company's sole discretion unless and until paid and may be modified at the Company’s sole discretion, consistent with the law.
Please be advised that Elevance Health only accepts resumes from agencies that have a signed agreement with Elevance Health. Accordingly, Elevance Health is not obligated to pay referral fees to any agency that is not a party to an agreement with Elevance Health. Thus, any unsolicited resumes, including those submitted to hiring managers, are deemed to be the property of Elevance Health.

Be part of an Extraordinary Team

Elevance Health is a health company dedicated to improving lives and communities – and making healthcare simpler. Previously known as Anthem, Inc., we have evolved into a company focused on whole health and updated our name to better reflect the direction the company is heading.

We are looking for leaders at all levels of the organization who are passionate about making an impact on our members and the communities we serve. You will thrive in a complex and collaborative environment where you take action and ownership to solve problems and lead change. Do you want to be part of a larger purpose and an evolving, high-performance culture that empowers you to make an impact?

We offer a range of market-competitive total rewards that include merit increases, paid holidays, Paid Time Off, and incentive bonus programs (unless covered by a collective bargaining agreement), medical, dental, vision, short and long term disability benefits, 401(k) +match, stock purchase plan, life insurance, wellness programs and financial education resources, to name a few.

The health of our associates and communities is a top priority for Elevance Health. We require all new candidates to become vaccinated against COVID-19. If you are not vaccinated, your offer will be rescinded unless you provide – and Elevance Health approves – a valid religious or medical explanation as to why you are not able to get vaccinated that Elevance Health is able to reasonably accommodate. Elevance Health will also follow all relevant federal, state and local laws.

Elevance Health has been named as a Fortune Great Place To Work in 2021, is ranked as one of the 2021 World’s Most Admired Companies among health insurers by Fortune magazine, and a Top 20 Fortune 500 Companies on Diversity and Inclusion. To learn more about our company and apply, please visit us at careers.ElevanceHealthinc.com. Elevance Health is an Equal Employment Opportunity employer and all qualified applicants will receive consideration for employment without regard to age, citizenship status, color, creed, disability, ethnicity, genetic information, gender (including gender identity and gender expression), marital status, national origin, race, religion, sex, sexual orientation, veteran status or any other status or condition protected by applicable federal, state, or local laws. Applicants who require accommodation to participate in the job application process may contact ability@icareerhelp.com for assistance.

EEO is the Law

Equal Opportunity Employer / Disability / Veteran

Please use the links below to review statements of protection from discrimination under Federal law for job applicants and employees.
EEO Policy Statement
EEO is the Law Poster
EEO Poster Supplement-English Version
Pay Transparency
Privacy Notice for California Residents
Elevance Health, Inc. is an E-verify Employer

Need Assistance?

Email us (elevancehealth@icareerhelp.com) or call 1-877-204-7664",Entry level,Full-time,Engineering and Information Technology,Hospitals and Health Care
7,Junior Software Engineer,Castle Hill Gaming,"Raleigh, NC",1 month ago,Be among the first 25 applicants,"Company Overview:

Castle Hill Gaming (CHG) provides quality gaming solutions to Native American Tribal Casinos across the United States. CHG's team utilizes decades of experience, insight, and knowledge to create the most entertaining Class II and Class III gaming machines in the market. We offer a competitive salary, excellent benefits including company-paid health insurance, company contributions to HSA/HRA accounts, generous paid time off, and more.

Position Overview:

We're growing our team with a junior level on-site software engineer in Charlottesville, VA.

This role is on-site full-time in Charlottesville, VA. If you are outside of this area, you will need to relocate and relocation assistance is available.

You're a match for our team if you
Are looking to learn from seasoned veterans of the online video and casino gaming industries
Would love our first class employee benefits
Have 1+ years of software development experience
Have a strong understanding of object-oriented programming
Understand and have experience with client-server development
Are able to debug software
Have excellent organizational and communication skills
Are detail oriented
Have integrity and high ethical standards
Are a team player with high performance standards
It's a bonus if you have exposure to game development platforms such as Flash, GoDot, or Unity

As a junior software engineer, you'll be part of the development team for Castle Hill Gaming's slot machine and casino titles. Specifically, we'll ask you to...
Develop code for new and existing projects while adhering to company best practices and coding standards
Work collaboratively with others to complete projects
Work with team to come up with ways to improve overall development processes
Document software functionality
Understand business needs and how to build software to support those needs
Work on field issues as assigned
Complete assigned tasks in a timely manner
We are not offering Visa sponsorship or transfers for this position, now or in the future.",Entry level,Full-time,Engineering and Information Technology,Gambling Facilities and Casinos
8,Software Engineer,Formlabs," Raleigh, NC",1 week ago,Be among the first 25 applicants,"To reinvent an industry, you have to build the best team. Join Formlabs if you want to bring ground-breaking professional 3D printers to the desktop of every designer, engineer, researcher, and artist in the world.

Software is at the heart of all aspects of Formlabs products. We aim to bring ground-breaking 3D printers to the desks and shops of designers, artists, and professionals the world over. Our software is integral to ensuring exceptional experiences with our products as it bridges the transition from digital models to beautiful physical form in 3D printing.

As a Software Engineer, you will collaborate with electrical engineers, systems engineers, and the rest of our software team to write the code that runs our printers. Our printers are used by Google, Tesla, Gillette, and New Balance, just to name a few.

The Job:
Develops the printer firmware that drives our hardware and enables new and inventive uses of our products
Develops PreForm, one of the most powerful and intuitive desktop print applications on the market
Optimizes 3D geometric and print algorithms
Creates elegant and user-friendly web applications
Works across engineering disciplines to realize cutting-edge capabilities

We value diversity at Formlabs, and work to remove unconscious and unnecessary barriers to build the best team possible. While we've outlined what an ideal candidate could look like, we know that you may bring something unanticipated and essential to the team. If you're reading this and can see yourself contributing, please apply!

You:
Ready to collaborate with a wide range of technical disciplines, including Software, Hardware, and Design teams
Product Development of our 3D printing software ecosystem in C++, QT and Python
Write and ship meaningful code that makes our custom hardware work, find the bugs, and ultimately push the limits of 3D printing
Develop end to end features ranging from the Desktop to the Printers
Design, implement and test complex algorithms
3D print a lot

Our Perks:
Flexible vacation
Premium healthcare coverage
Paid parental leave
Commuter benefits
Unlimited 3D prints

We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.",Entry level,Full-time,Engineering and Information Technology,Computers and Electronics Manufacturing
9,Software Support Engineer,Ndustrial," Raleigh, NC",1 month ago,Be among the first 25 applicants,"Ndustrial was founded in 2011 to accelerate efficiency across industrial facilities. Our founders merged their experiences across Silicon Valley innovation, industrial engineering and computer science to build a real-time industrial intelligence platform that enables companies to gain new levels of insight into their business processes and energy intensity and then optimize and transform them for sustained competitive advantage.

Headquartered in Raleigh, NC, Ndustrial’s customers span the globe. Come join one of the most impactful companies in its industry with investments from one of the largest utilities on the planet, ENGIE New Ventures, Clean Energy Ventures and the largest cold storage logistics companies in the world, Lineage Logistics. Our culture values a relentless customer first commitment to quality anchored in integrity and a startup mindset rooted in curiosity. Building a company and solving global challenges is hard work but our teamwork is sustained through humility and humor.

Ndustrial is looking for an experienced Technical Support Engineer. As the Technical Support Engineer at Ndustrial, you must be passionate about your work and will be counted on to build and improve our best in class products for the industrial IOT market.We are looking for a Technical Support Engineer to provide enterprise-level assistance to our customers. You will diagnose and troubleshoot our cloud based software solutions and help our customers configure and update their integrations and applications running under the Ndustrial Contxt framework. You will monitor and receive notifications from applications and services that are failing. Troubleshoot failing applications and services and restore service. If you’re naturally a helper, enjoy assisting people resolve software issues and are able to explain technical details simply, we’d like to meet you. Ultimately, you will be a person our customers trust. They will rely on you to provide timely and accurate solutions to their technical problems.

Responsibilities:
Research and identify solutions to cloud based software failures
Diagnose and troubleshoot technical issues, including account setup and AWS network configuration
Ask customers targeted questions to quickly understand the root of the problem
Track system issues through to resolution, within agreed time limits
Talk clients through a series of actions, either via phone, email or chat, until they’ve solved a technical issue
Properly escalate unresolved issues to appropriate internal teams
Provide prompt and accurate feedback to customers and internal stakeholders
Refer to and build upon internal database or external resources to provide accurate solutions
Ensure all issues are properly documented and tracked
Prioritize and manage several open issues at one time
Follow up with clients to ensure their integrated systems are fully functional after troubleshooting
Prepare accurate and timely reports
Be available for rotating pager duty after normal business hours
Document technical knowledge in both internal and external troubleshooting documents

Requirements
Proven work experience as a Technical Support Engineer, Help Desk Technician or similar role
Experience and/or expertise in cloud based solutions and IOT application solutions
Experience with deploying / monitoring Kubernetes in AWS
Experience in software development and coding in various languages (Java, Python, Kotlin, Node.js, etc.)
A technical mindset with great attention to detail
Excellent problem-solving and communication skills
Ability to provide step-by-step technical help, both written and verbal
Actively pursues personal continuous learning, development of skills and knowledge

Benefits
Open PTO Policy
Outstanding Benefits: Medical, Dental and Vision, STD, LTD, Life, AD&D insurance employee premiums fully covered!
Annual professional Development stipend ($500/year)
Commuter benefit
401K
Team outings, catered lunches, celebrations!
Flexible work environment with telecommuting options
New, modern, gorgeous office conveniently located on Fayetteville St. in Downtown Raleigh
We live our values everyday: Teamwork, Customer Service, Quality and Curiosity
Inclusive, communicative, innovative and fun environment, we enjoy working together!
Dog friendly office",Mid-Senior level,Full-time,Information Technology,Software Development
